smiles,IC50
CCN(CCCS(=O)(=O)NC)c1cccc(CO)c1,123.036
C[C@@H](O)CN(CCCNS(C)(=O)=O)C1CCCCC1,262.27
C[C@H](O)CN(CCCNS(C)(=O)=O)C1CCCCC1,262.27
CC(C)(C)NC[C@@H](O)COc1cccc2[nH]c(=O)[nH]c12,270.376
CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,270.376
Cn1c(N2CCN(CCO)CC2)nc2cccc(F)c21,302.679
COc1cncc(N2CCN(Cc3cnon3)CC2)c1,320.334
O=[N+]([O-])c1cccnc1N1CCC(c2nnn[nH]2)CC1,344.232
c1cc(CN2CCN([C@H]3CCNC3)CC2)c2nonc2c1,419.782
c1cc(CN2CCN([C@@H]3CCNC3)CC2)c2nonc2c1,419.782
COc1cc(CNC2CC2)ccc1OCC(N)=O,428.266
O=C(COc1ccc2c(c1)OCO2)N1CCOCC1,441.866
CCOc1ccc(CC(=O)NCCNC(C)=O)cc1,452.521
CS(=O)(=O)NC1CCN(CCc2ccncc2)CC1,478.238
CO[C@H]1CCN(Cc2cccc(OCC(N)=O)c2)C1,492.147
CO[C@@H]1CCN(Cc2cccc(OCC(N)=O)c2)C1,492.147
N[C@@H]1C[C@H](C(=O)NCCOc2ccccc2Cl)C[C@H]1O,532.827
COc1cccc(CNC2CC2)c1OCC(N)=O,565.888
CC(=O)NCCNC(=O)COc1c(C)cccc1C,565.967
c1nc2cncc(N3CCN(Cc4ccon4)CC3)n2n1,568.247
COC(=O)CC1CCN(c2ccc3nnnn3n2)CC1,570.124
O=C(COc1ccc(Br)cc1)NCCO,586.324
COCCNCc1cc(Cl)ccc1OCC(N)=O,597.463
Cc1cccc(CN2CCC(NS(C)(=O)=O)CC2)n1,607.686
N[C@H]1CC[C@H](C(=O)NCCOc2ccccc2F)C[C@@H]1O,618.072
c1ccc(CCN2CCN(c3nc[nH]n3)CC2)nc1,622.047
c1cncc(CCCN2CCN(c3nc[nH]n3)CC2)c1,622.047
O=C1NCCN1CCNc1nccc(-c2cccnc2)n1,636.688
O=C1NCCN1CCNc1nccc(-c2ccccn2)n1,636.688
O=C1NCCN1CCNc1nccc(-c2ccncc2)n1,636.688
CCOC(=O)c1cn2ccnc(N3CCOCC3)c2n1,648.581
COc1cc(N)c(Cl)cc1C(=O)OCC(N)=O,661.39
CCCS(=O)(=O)NC1CCN(C[C@@H](C)OC)CC1,669.809
CCCS(=O)(=O)NC1CCN(C[C@H](C)OC)CC1,669.809
CC(=O)NCCOc1ccccc1OCCNC(C)=O,679.263
NC(=O)COc1cc(OCC(N)=O)c(Cl)cc1Cl,682.437
CC(=O)NCCOc1ccc(N)cc1OCCNC(C)=O,688.704
COc1ccnc(N2CCN(Cc3ncc(C)[nH]3)CC2)n1,726.582
COc1ccnc(N2CCN(Cc3cnc(C)[nH]3)CC2)n1,726.582
COc1ncccc1C(=O)N1CCN(c2ncccn2)CC1,728.699
CC(=O)NCCNC(=O)COc1ccc2c(c1)CCC2,739.498
CNC(=O)c1cc(Cl)c(OCC(N)=O)c(OC)c1,740.262
CNCCCNCc1ccc(OCC(N)=O)c(OC)c1,747.085
Cc1cccc(CS(=O)(=O)NCCN(C)C)c1,749.28
COc1cccc(CN2CCS(=O)(=O)CC2)c1,776.493
C[C@@H](CN1CCN(c2ccccc2)CC1)NS(C)(=O)=O,781.735
C[C@H](CN1CCN(c2ccccc2)CC1)NS(C)(=O)=O,781.735
CS(=O)(=O)NCCCN1CCc2ccccc2C1,784.4
CCOC(=O)C1CCN(c2ccc3nnnn3n2)CC1,795.006
O=c1[nH]ccn1CCN1CCCN(c2ncccn2)CC1,798.234
c1cnc(N2CCC(NCCCn3cncn3)CC2)nc1,805.828
c1nonc1CN1CC[C@H](n2cc(C3CC3)nn2)C1,806.094
c1nonc1CN1CC[C@@H](n2cc(C3CC3)nn2)C1,806.094
Cn1cc[n+](C)c1CCCCCc1n(C)cc[n+]1C,809.829
CNC(=O)COC(=O)c1cc(Cl)c(N)cc1OC,813.832
N[C@H]1C[C@H](C(=O)NCCOc2ccccc2F)C[C@@H]1O,814.837
COc1ccnc(CN2CCN(c3nc[nH]n3)CC2)c1,825.687
CC[C@@H](CO)NCc1ccc(OCC(N)=O)cc1,830.507
CC[C@H](CO)NCc1ccc(OCC(N)=O)cc1,830.507
COc1ccnc(N2CCC[C@H](Cn3cncn3)C2)n1,834.522
COc1ccnc(N2CCC[C@@H](Cn3cncn3)C2)n1,834.522
COc1ccnc(CN2CCS(=O)(=O)CC2)c1,850.231
CNC(=O)COC(=O)CCOc1ccc(OC)cc1,851.222
CCC(=O)NCc1cccc(OCC(=O)NC)c1,852.354
CCCCS(=O)(=O)NC[C@@](C)(O)CN(C)C,858.323
CCCCS(=O)(=O)NC[C@](C)(O)CN(C)C,858.323
COc1ccc(Cl)cc1NC(=O)C(=O)NCCO,858.544
COc1ccc(NC(=O)C(=O)NCCO)cc1Cl,858.544
Cc1nc(N2CCN(Cc3ccc4nonc4c3)CC2)n[nH]1,858.682
CS(=O)(=O)N[C@@H]1CCCN(Cc2ccccn2)C1,867.299
CS(=O)(=O)N[C@@H]1CCCN(CCc2ccncc2)C1,867.299
CS(=O)(=O)N[C@H]1CCCN(Cc2ccccn2)C1,867.299
CS(=O)(=O)N[C@H]1CCCN(CCc2ccncc2)C1,867.299
NC(=O)CNC(=O)COc1ccc(Cl)cc1Cl,867.887
Cc1ccc(CS(=O)(=O)NCCN(C)C)cc1,868.544
Cc1ccc2[nH]c(CNCCS(C)(=O)=O)cc(=O)c2c1,870.904
Nc1nc(N2CCN(Cc3ccccc3)CC2)n[nH]1,872.483
COc1ccnc(N2CCN(Cc3cncn3C)CC2)n1,878.36
COc1ncnc2c1CN(Cc1ccn(C)c(=O)c1)CC2,885.183
COc1ccnc(N2CCN(c3ncccn3)CC2)n1,885.318
COCC(=O)Nc1ccc(CN2C(=O)CCC2=O)cc1,894.733
CC(=O)NCCOc1ccc(OCCNC(C)=O)cc1,895.579
CCN1CCC[C@@H](CNS(=O)(=O)C[C@H](C)OC)C1,903.849
CCN1CCC[C@H](CNS(=O)(=O)C[C@@H](C)OC)C1,903.849
CCN1CCC[C@H](CNS(=O)(=O)C[C@H](C)OC)C1,903.849
CCN1CCC[C@@H](CNS(=O)(=O)C[C@@H](C)OC)C1,903.849
CC(=O)NCCNC(=O)CO[C@H]1CCC[C@@H](C)C1,905.576
CC(=O)NCCNC(=O)CO[C@H]1CCC[C@H](C)C1,905.576
CC(=O)NCCNC(=O)CO[C@@H]1CCC[C@@H](C)C1,905.576
CC(=O)NCCNC(=O)CO[C@@H]1CCC[C@H](C)C1,905.576
COc1ncccc1C(=O)N1CCN(c2cnccn2)CC1,905.676
CS(=O)(=O)CCN1CC(Oc2ccccc2)C1,905.739
c1ccc(-n2nnnc2N2CCc3[nH]cnc3C2)cc1,908.768
CCOC(=O)N1CCN(c2ncnc3[nH]cnc23)CC1,912.078
CCc1ccccc1OCCN(C)C[C@H](O)CO,912.856
CCc1ccccc1OCCN(C)C[C@@H](O)CO,912.856
CCCCN(C)S(=O)(=O)NC1CCC(O)CC1,915.46
CN(CCNS(C)(=O)=O)C[C@H](O)c1cccc(F)c1,916.976
CN(CCNS(C)(=O)=O)C[C@@H](O)c1cccc(F)c1,916.976
COc1ccc(CCC(=O)NCCNC(C)=O)cc1,919.53
